,rdot,qrad,x,y,E1,E257,E250,b249,lv,V,ID
0,0.0003356133243601038,252597.913878471,0.058571221731067685,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
1,0.0003425701873319299,257833.96664000006,0.06281940289431029,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
2,0.0003429788138938368,258141.51765064546,0.06370002902807068,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
3,0.0003420587583052113,257449.04179980687,0.06458065518177963,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
4,0.00034116865561154805,256779.1098655321,0.06546128135543715,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
5,0.00034002393971033,255917.54440420095,0.06195240985184063,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
9,0.00033783606937667297,254270.85328080153,0.05620465237945034,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
10,0.00033469405877593406,251906.03262106184,0.05699350883262966,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
11,0.0003368548711644061,253532.35869929928,0.05778236528316877,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
13,0.00033939961875500193,255447.65194326497,0.053812883226002764,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
15,0.00034068373130572837,256414.13368863997,0.05541075596657661,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
19,0.00037935397657206326,285519.1261738733,0.07621345983971775,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
20,0.0003796654896804328,285753.58516464784,0.0769880921125969,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
23,0.00034089128805807995,256570.35037865178,0.0663034345831072,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
25,0.00033842152124994993,254711.4910956081,0.06791079513804099,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
27,0.00033879328019530434,254991.29385445634,0.07202942824333369,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
29,0.0003321565026136065,249996.15197441133,0.07036479239090229,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
31,0.0003226083119996769,242809.74769504857,0.07286815677157293,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
33,0.0003876818307895556,291787.04955395195,0.07455843501762194,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
37,0.0004187749496167982,315189.15066752303,0.08091465244830114,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
39,0.003758023601855998,2828460.1749492628,0.08297364766760898,0.006550292813390214,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
41,0.0033008870293809367,2484398.315114232,0.08297373643325268,0.0027333701347039526,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
45,0.003789400343533122,2852075.7435714467,0.08297366358670347,0.005865771750213908,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
46,0.003589362567350705,2701518.178382674,0.08297368180544218,0.005082365986192936,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
50,0.00031651507933820285,238223.70254323853,0.032342823660150594,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
53,0.0002657920542175469,200047.2375428934,0.0351193860695486,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
55,0.00032286421508843357,243002.35204560062,0.03050761814057415,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
57,0.0003709573904127376,279199.4719956895,0.028764041303330837,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
58,0.0003851019427342422,289845.3079915313,0.027892252872061804,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
59,0.00042774520889496593,321940.57743204257,0.027005206782597393,0.0086,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
61,0.0005026640581274873,378327.9245744501,0.025517914028897734,0.007800058603212466,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
62,0.00033215027233520915,249991.46278238046,0.02203794414555987,0.0044314486962186,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
65,0.0004252065335806745,320029.85446051735,0.02438451063478997,0.00670292442389313,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
67,0.0003615357744978415,272108.33361492184,0.023212080169185273,0.005568012049907516,15540.22971399827,80378.3946114512,6597.817697158023,2.146613301157733,632475.3491967047,6.393605200404713,10
