%mcmc_id interface             Lv       CURVE1_1 
139          NO_ID    8.380658961 0.0002220629463 
140          NO_ID    8.304434731 0.0002251704816 
141          NO_ID    8.197504207 0.0002294943949 
142          NO_ID    8.130476375 0.0002321735142 
143          NO_ID    8.523633501 0.0002162359055 
144          NO_ID    8.662111153 0.0002107071251 
145          NO_ID    8.172910374 0.0002304805267 
146          NO_ID    8.451983742 0.000219150384 
147          NO_ID    8.525023078 0.000216179615 
148          NO_ID    8.901032743 0.0002018984999 
149          NO_ID    8.554928958 0.0002149711666 
150          NO_ID    8.182546657 0.0002300945612 
151          NO_ID    8.384987776 0.0002218861602 
152          NO_ID    8.605425445 0.0002129469193 
153          NO_ID    8.796778266 0.0002055888155 
154          NO_ID    8.746167969 0.0002074726183 
155          NO_ID     8.12532165 0.0002323784189 
156          NO_ID     8.26475718 0.0002267810591 
157          NO_ID    8.481000411 0.0002179677142 
158          NO_ID    8.477863219 0.000218095457 
159          NO_ID    8.243738845 0.0002276314922 
160          NO_ID    8.844354307 0.0002038703853 
161          NO_ID    8.302659928 0.0002252426518 
162          NO_ID    8.745389826 0.0002075019906 
163          NO_ID    8.805359667 0.0002052749025 
164          NO_ID    8.674391281 0.0002102274823 
165          NO_ID    8.286117429 0.0002259147843 
166          NO_ID    8.378508701 0.0002221507555 
167          NO_ID    8.156864743 0.0002311219849 
168          NO_ID    8.641187556 0.0002115292007 
169          NO_ID    8.812534111 0.0002050137574 
170          NO_ID    8.487119544 0.0002177186532 
171          NO_ID    8.849001501 0.0002037055033 
172          NO_ID     8.58825567 0.000213632562 
173          NO_ID    8.166799127 0.0002307250185 
174          NO_ID    8.834985538 0.0002042044458 
175          NO_ID    8.454306745 0.0002190556198 
176          NO_ID    8.252471357 0.0002272784129 
177          NO_ID    8.991856434 0.0001989329712 
178          NO_ID    8.480362872 0.0002179936712 
179          NO_ID    8.253049484 0.0002272550248 
180          NO_ID    8.722734078 0.0002083621825 
181          NO_ID    8.862066999 0.0002032449219 
182          NO_ID    8.501062779 0.0002171516993 
183          NO_ID     8.08277464 0.0002340633554 
184          NO_ID    8.472193068 0.0002183264233 
185          NO_ID    8.300649065 0.000225324408 
186          NO_ID    8.334438182 0.0002239489162 
187          NO_ID    8.094088143 0.0002336164274 
188          NO_ID    8.150754535 0.0002313658454 
189          NO_ID    8.654010333 0.0002110247011 
190          NO_ID    8.693573841 0.0002094827708 
191          NO_ID    8.706280241 0.0002089927082 
192          NO_ID    8.197002746 0.0002295145365 
193          NO_ID    8.104066393 0.0002332215817 
194          NO_ID     8.61641911 0.0002125095267 
195          NO_ID    8.181707574 0.0002301281909 
196          NO_ID     8.23828016 0.0002278520133 
197          NO_ID    8.888772188 0.000202317641 
198          NO_ID    8.684661493 0.0002098280601 
199          NO_ID    8.288448835 0.0002258201202 
200          NO_ID    8.309367556 0.0002249698375 
201          NO_ID     8.64935065 0.0002112077804 
202          NO_ID    8.814674155 0.0002049360941 
203          NO_ID    8.521536899 0.0002163208583 
204          NO_ID    8.253848133 0.000227222713 
205          NO_ID    8.461482824 0.0002187629598 
206          NO_ID    8.810288539 0.0002050953659 
207          NO_ID    8.248109534 0.000227454819 
208          NO_ID    8.420218643 0.0002204471295 
209          NO_ID    8.532606794 0.0002158726102 
210          NO_ID    8.832240132 0.0002043027527 
211          NO_ID    8.265917746 0.0002267340418 
212          NO_ID    8.395378056 0.0002214617776 
213          NO_ID     8.78433733 0.0002060468474 
214          NO_ID    8.540786716 0.0002155418786 
215          NO_ID    8.208557397 0.0002290500771 
216          NO_ID     8.08588091 0.0002339407253 
217          NO_ID    8.069498878 0.0002345867807 
218          NO_ID    8.283482825 0.0002260217337 
219          NO_ID    8.060786431 0.0002349296923 
220          NO_ID    8.314960243 0.0002247422565 
221          NO_ID    8.171886853  0.00023052149 
222          NO_ID    8.440708394 0.0002196105041 
223          NO_ID    8.369987915 0.0002224986663 
224          NO_ID    8.501347894 0.000217140115 
225          NO_ID    8.454502249 0.000219047645 
226          NO_ID    8.336183723 0.0002238777695 
227          NO_ID    8.667895424 0.0002104809286 
228          NO_ID    8.016887452 0.0002366504646 
229          NO_ID    8.332896872 0.0002240117321 
230          NO_ID    8.013767271 0.0002367723339 
231          NO_ID    8.143649533 0.000231649122 
232          NO_ID    8.263777787 0.0002268207319 
233          NO_ID    8.983152481 0.0001992059855 
234          NO_ID    8.887255104 0.0002023697969 
235          NO_ID    8.293022885 0.0002256343352 
236          NO_ID    8.499388735 0.0002172197239 
237          NO_ID    8.543801438 0.0002154200998 
238          NO_ID    8.332419424 0.0002240311893 
239          NO_ID     8.49631627 0.0002173446061 
240          NO_ID    8.454225488 0.0002190589343 
241          NO_ID     8.78084681 0.0002061759663 
242          NO_ID    8.314375225 0.0002247660671 
243          NO_ID    8.522228433 0.0002162928351 
244          NO_ID    8.892240532 0.0002021986434 
245          NO_ID    8.601504719 0.0002131032224 
246          NO_ID    8.488342237 0.0002176689043 
247          NO_ID    8.454184205 0.0002190606183 
248          NO_ID    8.918934036 0.000201294234 
249          NO_ID    8.813421092 0.0002049815554 
250          NO_ID    8.335163471 0.000223919355 
251          NO_ID    8.754008244 0.0002071773346 
252          NO_ID    8.808009954 0.0002051782945 
253          NO_ID    8.906678792 0.0002017069162 
254          NO_ID    8.765035201 0.0002067641081 
255          NO_ID    8.420335816 0.0002204423439 
256          NO_ID    8.869297985 0.0002029919422 
257          NO_ID    8.722012717 0.000208389726 
258          NO_ID    8.461831266 0.0002187487527 
259          NO_ID    8.901782184 0.0002018730172 
260          NO_ID     8.25006744 0.0002273756462 
261          NO_ID    8.156378309 0.000231141407 
262          NO_ID     8.62035467 0.0002123532733 
263          NO_ID    8.739174797 0.0002077370049 
264          NO_ID    8.691340967 0.0002095691604 
265          NO_ID    8.709517763 0.0002088682735 
266          NO_ID    8.685457827 0.0002097971571 
267          NO_ID    8.252369274 0.0002272825425 
268          NO_ID    8.175485777 0.0002303774266 
269          NO_ID    8.245283216 0.0002275690758 
270          NO_ID    8.702264748 0.0002091472901 
271          NO_ID       8.819219 0.0002047715186 
272          NO_ID    8.123244887 0.0002324609252 
273          NO_ID    8.152019682 0.0002313153716 
274          NO_ID    8.514346563 0.0002166123933 
275          NO_ID    8.709244013 0.0002088787882 
276          NO_ID     8.34913299 0.0002233497447 
277          NO_ID    8.421886536 0.0002203790106 
278          NO_ID    8.605673201 0.0002129370477 
279          NO_ID    8.937648482 0.0002006725922 
280          NO_ID    8.791753387 0.000205773401 
281          NO_ID    8.742369878 0.0002076160941 
