%eval_id interface             Lv       CURVE1_1 
140          NO_ID    10.48098285 0.0001904257843 
141          NO_ID    10.43780514 0.000189873421 
142          NO_ID    7.137051053 0.0002718320352 
143          NO_ID    8.288627092 0.0002258128814 
144          NO_ID    8.801371033 0.0002054206005 
145          NO_ID    7.768303968 0.0002462255797 
146          NO_ID    9.817292986 0.0001858361209 
147          NO_ID    7.526085028 0.000255563349 
148          NO_ID    10.06235369 0.0001863992129 
149          NO_ID    9.155109663 0.0001942990111 
150          NO_ID    7.653843734 0.0002506072086 
151          NO_ID    9.053790282 0.0001970635782 
152          NO_ID    9.392117434 0.0001893691647 
153          NO_ID    8.272538581 0.0002264657035 
154          NO_ID    6.985323942 0.0002788846446 
155          NO_ID    9.179712156 0.0001936854632 
156          NO_ID      7.6533149 0.0002506275326 
157          NO_ID    8.947463775 0.0002003507798 
158          NO_ID    10.03451317 0.0001862568176 
159          NO_ID    10.16643864 0.0001870881415 
160          NO_ID    9.836883491 0.000185819851 
161          NO_ID    7.721355921 0.000248019949 
162          NO_ID    10.23744474 0.0001876890321 
163          NO_ID    9.263030701 0.0001917812354 
164          NO_ID    6.911343804 0.0002824837241 
165          NO_ID    7.489578142 0.000257002851 
166          NO_ID    7.352823257 0.0002625306049 
167          NO_ID    8.285951638 0.0002259215152 
168          NO_ID    8.854606728 0.0002035073666 
169          NO_ID     6.93129733 0.0002815027802 
170          NO_ID    7.676012515 0.0002497561727 
171          NO_ID    8.551383013 0.0002151141274 
172          NO_ID    9.450570059 0.000188491842 
173          NO_ID    9.904722099 0.0001858501107 
174          NO_ID    10.08500283 0.0001865285024 
175          NO_ID    10.24984954 0.0001878040898 
176          NO_ID    9.222094233 0.0001926830713 
177          NO_ID     7.61558901 0.0002520806726 
178          NO_ID    7.270024979 0.0002660059572 
179          NO_ID    8.045585085 0.0002355268799 
180          NO_ID    8.739370451 0.0002077295952 
181          NO_ID    9.253048727 0.0001919950886 
182          NO_ID    9.673302992 0.0001863245284 
183          NO_ID    10.37509869 0.000189119283 
184          NO_ID    6.549764736 0.0003014269377 
185          NO_ID    9.902285326 0.0001858467595 
186          NO_ID    10.40893926 0.0001895189324 
187          NO_ID    10.05384016 0.0001863537115 
188          NO_ID    7.217321291 0.0002682772012 
189          NO_ID    8.567611423 0.0002144606508 
190          NO_ID    9.705617704 0.0001861562873 
191          NO_ID    6.458897387 0.0003064673489 
192          NO_ID    9.977421327 0.0001860241555 
193          NO_ID    7.967678889 0.0002385660894 
194          NO_ID    8.300251083 0.0002253405871 
195          NO_ID    10.33446554 0.0001886633231 
196          NO_ID    9.378689233 0.0001895895227 
197          NO_ID     8.94244979 0.0002005148047 
198          NO_ID    8.457072665 0.0002189428032 
199          NO_ID    9.334007183 0.0001903737537 
200          NO_ID    10.01815266 0.0001861818569 
201          NO_ID    10.23912834 0.0001877044774 
202          NO_ID     9.31796231 0.0001906745528 
203          NO_ID    10.16443722 0.0001870726799 
204          NO_ID    10.19697903 0.0001873342793 
205          NO_ID    7.241397587 0.0002672336675 
206          NO_ID     8.80672487 0.000205225118 
207          NO_ID    7.130165844 0.0002721425247 
208          NO_ID    6.816172384 0.0002872633226 
209          NO_ID    8.409869805 0.0002208698257 
210          NO_ID    7.665276522 0.0002501680943 
211          NO_ID    9.296557974 0.0001910916354 
212          NO_ID    8.255826735 0.0002271426496 
213          NO_ID    10.48985258 0.0001905423966 
214          NO_ID    8.151467092 0.0002313374187 
215          NO_ID    7.887137055 0.0002416754776 
216          NO_ID    8.767725724 0.0002066636593 
217          NO_ID    6.982375222 0.0002790261001 
218          NO_ID    9.327449501 0.0001904954662 
219          NO_ID    10.17439203 0.0001871504045 
220          NO_ID     10.0541533 0.0001863553548 
221          NO_ID    8.629010638 0.0002120102373 
222          NO_ID     10.2408712 0.000187720523 
223          NO_ID    9.773334702 0.0001859151071 
224          NO_ID    9.770206255 0.0001859230133 
225          NO_ID    10.41865478 0.000189636878 
226          NO_ID    9.279323641 0.0001914405889 
227          NO_ID    6.949855505 0.000280597178 
228          NO_ID    9.781862925 0.0001858951124 
229          NO_ID    8.167006252 0.0002307167357 
230          NO_ID    9.542842302 0.000187373301 
231          NO_ID    7.742828271 0.0002471990696 
232          NO_ID    7.465219062 0.0002579708594 
233          NO_ID    6.400401184 0.0003097521533 
234          NO_ID    6.675502231 0.0002946120675 
235          NO_ID    6.494824356 0.0003044645342 
236          NO_ID    8.096231324 0.000233531673 
237          NO_ID    9.850489915 0.0001858152593 
238          NO_ID    9.752242305 0.0001859744012 
239          NO_ID    8.395288235 0.0002214654465 
240          NO_ID    7.617087315 0.0002520228245 
241          NO_ID    7.552124994 0.0002545439431 
242          NO_ID    9.012254973 0.0001983029149 
243          NO_ID    10.37261001 0.0001890905933 
244          NO_ID    8.810458203 0.0002050891959 
245          NO_ID    8.826549965 0.0002045070948 
246          NO_ID    8.488280916 0.0002176713991 
247          NO_ID    9.157906005 0.0001942281141 
248          NO_ID    9.845595211 0.0001858162833 
249          NO_ID    9.456480208 0.0001884104978 
250          NO_ID    8.016080963 0.0002366819702 
251          NO_ID    9.158642939 0.0001942094796 
252          NO_ID    10.04066059 0.0001862866654 
253          NO_ID    8.061164096 0.0002349148376 
254          NO_ID    8.415962589 0.0002206209605 
255          NO_ID     9.89537534 0.0001858381565 
256          NO_ID     9.23791055 0.0001923268636 
257          NO_ID    9.614184449 0.0001867248603 
258          NO_ID    8.757087935 0.0002070616787 
259          NO_ID    9.649794014 0.0001864691992 
260          NO_ID    9.446579685 0.0001885475237 
261          NO_ID    6.432653376 0.0003079376682 
262          NO_ID    9.194619744 0.0001933249666 
263          NO_ID    6.880144359 0.0002840324206 
264          NO_ID    9.375048321 0.0001896504884 
265          NO_ID    6.736262574 0.0002913988329 
266          NO_ID     9.37930161 0.0001895793197 
267          NO_ID    8.333608794 0.0002239827186 
268          NO_ID    7.904097567 0.0002410230109 
269          NO_ID    7.080091682 0.0002744277427 
270          NO_ID    7.714582924 0.0002482790079 
271          NO_ID    10.22358895 0.0001875639761 
272          NO_ID    9.034581547 0.0001976293497 
273          NO_ID    6.969990444 0.0002796220428 
274          NO_ID    8.799344231 0.0002054947754 
275          NO_ID    9.308601267 0.0001908547378 
276          NO_ID    10.24623064 0.0001877702241 
277          NO_ID    8.811764679 0.0002050417068 
278          NO_ID    9.649326814 0.0001864722671 
279          NO_ID    7.409739027 0.0002602010593 
280          NO_ID    8.122405346 0.0002324942712 
281          NO_ID    8.485683317 0.0002177770979 
282          NO_ID    9.517708345 0.0001876461893 
283          NO_ID    7.194686187 0.0002692676741 
284          NO_ID    7.449863937 0.0002585844243 
285          NO_ID    7.053757347 0.0002756488492 
286          NO_ID    8.688099014 0.0002096947325 
287          NO_ID    10.09812402 0.0001866087901 
288          NO_ID    10.27835611 0.0001880793261 
289          NO_ID    7.405872013 0.0002603579351 
290          NO_ID    10.11875115 0.0001867428247 
291          NO_ID    9.955263261 0.0001859561967 
292          NO_ID    10.49346618 0.0001905902033 
